Query,Recall,Precision
329.jpg,0.8,0.9
33.jpg,0.4,1
330.jpg,0.8,1
331.jpg,0.8,0.8
332.jpg,0.8,1
333.jpg,1,0.9
334.jpg,0.6,0.8
335.jpg,1,0.9
336.jpg,0.4,0.8
337.jpg,0.4,0.5
338.jpg,0.4,1
339.jpg,0.6,1
34.jpg,0.6,1
340.jpg,1,1
341.jpg,1,1
342.jpg,0.6,1
343.jpg,0.2,0.8
344.jpg,0.8,0.6
345.jpg,0.6,0.8
346.jpg,1,1
347.jpg,0.2,0.9
348.jpg,0.2,1
349.jpg,0.6,0.6
35.jpg,1,1
350.jpg,0.4,1
351.jpg,1,0.9
352.jpg,0.4,0.9
353.jpg,0.4,0.4
354.jpg,0.4,1
355.jpg,0.6,0.7
356.jpg,0.6,0.5
357.jpg,0.6,0.7
358.jpg,0.2,0.9
359.jpg,0.2,0.7
36.jpg,1,1
360.jpg,0.4,1
361.jpg,0.4,0.6
362.jpg,0.4,0.8
363.jpg,0.4,0.8
364.jpg,1,0.8
365.jpg,0.2,1
366.jpg,0.6,0.8
367.jpg,0.8,1
368.jpg,1,0.6
369.jpg,0.2,1
37.jpg,1,1
370.jpg,0.4,0.9
371.jpg,0.6,1
372.jpg,0.8,1
373.jpg,0.8,0.6
374.jpg,0.4,0.9
375.jpg,0.8,1
376.jpg,0.4,0.9
377.jpg,0.2,1
378.jpg,0.8,0.8
379.jpg,0.8,0.9
38.jpg,1,1
380.jpg,0.4,0.3
381.jpg,0.4,0.9
382.jpg,0.8,1
383.jpg,0.6,0.4
384.jpg,0.6,0.5
385.jpg,1,0.9
386.jpg,1,1
387.jpg,0.4,1
388.jpg,1,0.8
389.jpg,0.2,0.6
39.jpg,0.8,0.9
390.jpg,0.2,1
391.jpg,0.4,0.9
392.jpg,1,1
393.jpg,0.4,1
394.jpg,0.2,0.8
395.jpg,0.4,0.8
396.jpg,0.8,0.9
397.jpg,1,0.9
398.jpg,0.4,0.8
399.jpg,0.2,0.9
4.jpg,0.8,0.9
40.jpg,1,1
400.jpg,1,1
401.jpg,1,0.3
402.jpg,1,0.7
403.jpg,1,1
404.jpg,1,1
405.jpg,1,0.4
406.jpg,1,0.8
407.jpg,1,0.1
408.jpg,1,0.7
409.jpg,1,0.8
41.jpg,1,0.9
410.jpg,1,0.9
411.jpg,1,0.7
412.jpg,1,0.8
413.jpg,1,0.6
414.jpg,1,0.3
415.jpg,1,0.6
416.jpg,1,0.6
417.jpg,1,0.4
418.jpg,1,1
419.jpg,1,0.6
42.jpg,1,1
420.jpg,1,1
421.jpg,1,0.4
422.jpg,0.8,0.5
423.jpg,1,0.9
424.jpg,1,0.8
425.jpg,0.2,1
426.jpg,1,0.5
427.jpg,1,1
428.jpg,1,0.7
429.jpg,1,0.4
43.jpg,1,0.8
430.jpg,1,0.5
431.jpg,1,0.9
432.jpg,1,0.8
433.jpg,1,0.9
434.jpg,1,1
435.jpg,1,0.7
436.jpg,1,0.5
437.jpg,1,0.7
438.jpg,1,0.9
439.jpg,1,1
44.jpg,0.8,0.9
440.jpg,1,0.9
441.jpg,1,1
442.jpg,1,0.7
443.jpg,1,0.7
444.jpg,1,0.6
445.jpg,1,0.9
446.jpg,1,0.4
447.jpg,1,0.7
448.jpg,1,0.7
449.jpg,1,1
45.jpg,1,0.9
450.jpg,1,0.5
451.jpg,1,0.8
452.jpg,1,0.7
453.jpg,1,1
454.jpg,1,0.7
455.jpg,1,0.9
456.jpg,1,0.8
457.jpg,1,0.1
458.jpg,1,0.9
459.jpg,1,1
46.jpg,1,0.2
460.jpg,1,1
461.jpg,1,0.7
462.jpg,1,0.8
463.jpg,1,0.8
464.jpg,1,0.6
465.jpg,1,0.7
466.jpg,1,0.3
467.jpg,1,0.9
468.jpg,1,0.4
469.jpg,1,0.9
47.jpg,1,0.9
470.jpg,1,0.7
471.jpg,1,1
472.jpg,1,1
473.jpg,1,0.7
474.jpg,1,0.7
475.jpg,1,0.9
476.jpg,1,1
477.jpg,1,0.5
478.jpg,0.8,0.8
479.jpg,1,0.7
48.jpg,1,1
480.jpg,1,0.8
481.jpg,1,1
482.jpg,1,0.6
483.jpg,1,0.9
484.jpg,1,0.9
485.jpg,1,0.3
486.jpg,1,1
487.jpg,1,0.8
488.jpg,1,1
489.jpg,1,0.8
49.jpg,1,0.9
490.jpg,1,0.9
491.jpg,1,0.7
492.jpg,1,0.6
493.jpg,1,0.4
494.jpg,1,0.8
495.jpg,1,0.5
496.jpg,1,0.8
497.jpg,1,0.9
498.jpg,1,0.9
499.jpg,1,0.1
5.jpg,1,0.9
50.jpg,1,0.9
500.jpg,1,0.9
501.jpg,0.4,1
502.jpg,0.4,0.9
503.jpg,0.8,0.7
504.jpg,0.6,1
505.jpg,0.8,0.4
506.jpg,1,1
507.jpg,1,1
508.jpg,0.8,1
509.jpg,0.6,1
51.jpg,1,0.9
510.jpg,1,1
511.jpg,0.2,1
512.jpg,0.4,1
513.jpg,0.8,1
514.jpg,0.6,1
515.jpg,0.8,1
516.jpg,0.2,0.9
517.jpg,0.2,0.9
518.jpg,1,1
519.jpg,0.2,1
52.jpg,1,1
520.jpg,0.6,0.9
521.jpg,1,1
522.jpg,0.8,1
523.jpg,1,1
524.jpg,1,0.9
525.jpg,1,1
526.jpg,0.8,1
527.jpg,1,1
528.jpg,0.4,1
529.jpg,1,1
53.jpg,1,1
530.jpg,0.6,1
531.jpg,0.8,1
532.jpg,0.8,1
533.jpg,0.4,1
534.jpg,1,1
535.jpg,0.4,1
536.jpg,0.6,1
537.jpg,0.8,1
538.jpg,1,1
539.jpg,1,1
54.jpg,1,0.9
540.jpg,1,1
541.jpg,0.2,1
542.jpg,1,1
543.jpg,1,1
544.jpg,1,1
545.jpg,0.6,1
546.jpg,1,1
547.jpg,1,1
548.jpg,1,1
549.jpg,1,1
55.jpg,1,1
550.jpg,0.6,0.9
551.jpg,0.2,0.7
552.jpg,1,1
553.jpg,1,1
554.jpg,0.8,1
555.jpg,1,1
556.jpg,1,1
557.jpg,1,1
558.jpg,1,1
